statename,ccode,year,leader,leaderpos,affiliation,totalldrtrans,leadertrans,solschange,solschdum,solschange30,solsch30dum,solsminchange,solsminchdum,leaderchyr1,leaderchmo1,leaderchday1,leaderchyr2,leaderchmo2,leaderchday2,leaderchyr3,leaderchmo3,leaderchday3,leaderchyr4,leaderchmo4,leaderchday4,leaderchyr5,leaderchmo5,leaderchday5,leaderchyr6,leaderchmo6,leaderchday6,leaderchyr7,leaderchmo7,leaderchday7,solschange1,solschyr1,solschmo1,solschday1,solschange2,solschyr2,solschmo2,solschday2,solschange3,solschyr3,solschmo3,solschday3,solschange4,solschyr4,solschmo4,solschday4,solschange5,solschyr5,solschmo5,solschday5,solschange6,solschyr6,solschmo6,solschday6,solschange7,solschyr7,solschmo7,solschday7,solsminch1,solsminchyr1,solsminchmo1,solsminchday1,solsminch2,solsminchyr2,solsminchmo2,solsminchday2,solsminch3,solsminchyr3,solsminchmo3,solsminchday3,solsminch4,solsminchyr4,solsminchmo4,solsminchday4,solsminch5,solsminchyr5,solsminchmo5,solsminchday5,solsminch6,solsminchyr6,solsminchmo6,solsminchday6,solsminch7,solsminchyr7,solsminchmo7,solsminchday7,nonindep,dem,pres,parl,mixed,mil,indmil,sp,per,mon,warlord,hybrid,olig,other,regtrans,demtrans,auttrans,autend,sourcereg,sourcedemtype,sourceauttype,version
"United States of America",2,1919,"Wilson","President","Dem",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,0,0,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",0,0,"Not Applicable","Not Applicable","Polity IV",5,"Not Applicable","4.0"
"United States of America",2,1920,"Wilson","President","Dem",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,0,0,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",0,0,"Not Applicable","Not Applicable","Polity IV",5,"Not Applicable","4.0"
"United States of America",2,1921,"Wilson, Harding","President","Dem, Rep",1,1,1,1,0,0,0,0,1921,3,4,,,,,,,,,,,,,,,,,,,1,1921,3,4,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,0,0,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",0,0,"Not Applicable","Not Applicable","Polity IV",5,"Not Applicable","4.0"
"United States of America",2,1922,"Harding","President","Rep",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,0,0,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",0,0,"Not Applicable","Not Applicable","Polity IV",5,"Not Applicable","4.0"
"United States of America",2,1923,"Harding, Coolidge","President","Rep, Rep",1,1,0,0,0,0,0,0,1923,8,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,0,0,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",0,0,"Not Applicable","Not Applicable","Polity IV",5,"Not Applicable","4.0"
"United States of America",2,1924,"Coolidge","President","Rep",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,0,0,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",0,0,"Not Applicable","Not Applicable","Polity IV",5,"Not Applicable","4.0"
"United States of America",2,1925,"Coolidge","President","Rep",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,0,0,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",0,0,"Not Applicable","Not Applicable","Polity IV",5,"Not Applicable","4.0"
"United States of America",2,1926,"Coolidge","President","Rep",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,0,0,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",0,0,"Not Applicable","Not Applicable","Polity IV",5,"Not Applicable","4.0"
"United States of America",2,1927,"Coolidge","President","Rep",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,0,0,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",0,0,"Not Applicable","Not Applicable","Polity IV",5,"Not Applicable","4.0"
"United States of America",2,1928,"Coolidge","President","Rep",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,0,0,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",0,0,"Not Applicable","Not Applicable","Polity IV",5,"Not Applicable","4.0"
"United States of America",2,1929,"Coolidge, Hoover","President","Rep, Rep",1,1,0,0,0,0,0,0,1929,3,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,0,0,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",0,0,"Not Applicable","Not Applicable","Polity IV",5,"Not Applicable","4.0"
"United States of America",2,1930,"Hoover","President","Rep",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,0,0,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",0,0,"Not Applicable","Not Applicable","Polity IV",5,"Not Applicable","4.0"
"United States of America",2,1931,"Hoover","President","Rep",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,0,0,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",0,0,"Not Applicable","Not Applicable","Polity IV",5,"Not Applicable","4.0"
"United States of America",2,1932,"Hoover","President","Rep",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,0,0,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",0,0,"Not Applicable","Not Applicable","Polity IV",5,"Not Applicable","4.0"
