"atopid","year","mean.s.sc","low.s.sc","mean.pi.sc","low.pi.sc","mean.kap.sc","low.kap.sc"
1005,1815,NA,NA,NA,NA,NA,NA
1010,1815,NA,NA,NA,NA,NA,NA
1015,1815,NA,NA,NA,NA,NA,NA
1020,1815,NA,NA,NA,NA,NA,NA
1020,1816,0.577339935714286,-0.0113789,0.878837242857143,0.6461539,0.881455439285714,0.6567164
1020,1817,0.584391242857143,0.0046697,0.878837242857143,0.6461539,0.881455439285714,0.6567164
1020,1818,0.585998914285714,0.0083353,0.878837242857143,0.6461539,0.881455439285714,0.6567164
1020,1819,0.596888878571429,0.0333238,0.878837242857143,0.6461539,0.881455439285714,0.6567164
1020,1820,0.590271085714286,0.0179022,0.878837242857143,0.6461539,0.881455439285714,0.6567164
1020,1821,0.593295975,0.0495819,0.900110996428571,0.7309942,0.901418817857143,0.7356322
1020,1822,0.603145785714286,0.0719523,0.902879253571429,0.738657,0.904064735714286,0.7428572
1020,1823,0.9991168,0.9964672,0.9772296,0.9089184,0.977272725,0.9090909
1020,1824,0.9990957,0.9963828,0.9772296,0.9089184,0.977272725,0.9090909
1020,1825,0.999061325,0.9962453,0.977718375,0.9108735,0.977758,0.911032
1020,1826,0.999029025,0.9961161,0.977718375,0.9108735,0.977758,0.911032
1020,1827,0.99901815,0.9960726,0.977718375,0.9108735,0.977758,0.911032
1020,1828,0.99902005,0.9960802,0.97815125,0.912605,0.978187925,0.9127517
1020,1829,0.999046775,0.9961871,0.97815125,0.912605,0.978187925,0.9127517
1020,1830,0.99907955,0.9963182,0.978537375,0.9141495,0.978571425,0.9142857
1020,1831,0.993051775,0.9722071,0.959722225,0.8388889,0.95994475,0.839779
1020,1832,0.99309485,0.9723794,0.959722225,0.8388889,0.95994475,0.839779
1020,1833,0.862392989285714,0.6672864,0.926399264285714,0.7651822,0.927057160714286,0.768
1020,1834,0.865085246428571,0.6729714,0.926399264285714,0.7651822,0.927057160714286,0.768
1020,1835,0.866565096428571,0.6760226,0.926399264285714,0.7651822,0.927057160714286,0.768
1020,1836,0.855082832142857,0.6497001,0.926399264285714,0.7651822,0.927057160714286,0.768
1020,1837,0.887294777777778,0.6972969,0.938301258333333,0.7802198,0.938803947222222,0.7826087
1020,1838,0.890051272222222,0.7046009,0.938301258333333,0.7802198,0.938803947222222,0.7826087
1020,1839,0.892304619444445,0.7104449,0.940253416666667,0.7873754,0.940695022222222,0.7894737
1020,1840,0.732328416666667,-0.0037175,0.912054422222222,0.6606575,0.913896980555556,0.6694215
1020,1841,0.889983972222222,0.7050221,0.941875713888889,0.7933131,0.9422688,0.7951807
1020,1842,0.885974491666667,0.695078,0.942588236111111,0.7959183,0.942960669444444,0.7976878
1020,1843,0.895402795555556,0.6941976,0.951198008888889,0.8083407,0.951488724444444,0.8098592
1020,1844,0.897202293333333,0.6991022,0.951198008888889,0.8083407,0.951488724444444,0.8098592
1020,1845,0.897996317777778,0.7014796,0.951198008888889,0.8083407,0.951488724444444,0.8098592
1020,1846,0.904842551111111,0.7198913,0.951793428888889,0.8107417,0.952069324444444,0.8121827
1020,1847,0.899129686666667,0.703089,0.941023371111111,0.7564102,0.9416095,0.7594936
1020,1848,0.906315826666667,0.7172928,0.941692608888889,0.7592593,0.942250677777778,0.7621951
1020,1850,0.94334722,0.7167361,0.97467532,0.8733766,0.97475728,0.8737864
1020,1851,0.9501657,0.7508285,0.96338672,0.8169336,0.96363636,0.8181818
1020,1852,0.94801458,0.7400729,0.96338672,0.8169336,0.96363636,0.8181818
1020,1853,0.94635746,0.7317873,0.96338672,0.8169336,0.96363636,0.8181818
1020,1854,0.76583258,-0.1708371,0.94245614,0.7122807,0.94344828,0.7172414
1020,1855,0.82466096,0.1233048,0.95376344,0.7688172,0.95425532,0.7712766
1020,1856,0.82785366,0.1392683,0.95376344,0.7688172,0.95425532,0.7712766
1020,1857,0.83034404,0.1517202,0.95376344,0.7688172,0.95425532,0.7712766
1020,1858,0.83321058,0.1660529,0.95376344,0.7688172,0.95425532,0.7712766
1020,1859,0.83006926,0.1503463,0.95416666,0.7708333,0.95463918,0.7731959
1020,1860,0.85167262,0.2583631,0.9761039,0.8805195,0.9761658,0.880829
1020,1861,0.86312608,0.3156304,0.97536656,0.8768328,0.9754386,0.877193
1020,1862,0.8662686,0.331343,0.97515152,0.8757576,0.97522658,0.8761329
1020,1863,0.839366397777778,0.1968319,0.962503968888889,0.8187178,0.962582524444444,0.8188512
1020,1864,0.8717539,0.3587695,0.97515152,0.8757576,0.97522658,0.8761329
1020,1865,0.86171934,0.3085967,0.97515152,0.8757576,0.97522658,0.8761329
1020,1866,0.847028322222222,0.2351417,0.962503968888889,0.8187178,0.962582524444444,0.8188512
1025,1815,NA,NA,NA,NA,NA,NA
1025,1816,-0.0907914,-0.0907914,-0.0267857,-0.0267857,0.1605839,0.1605839
1025,1817,-0.0770443,-0.0770443,-0.0267857,-0.0267857,0.1605839,0.1605839
1025,1818,-0.0762497,-0.0762497,-0.0267857,-0.0267857,0.1605839,0.1605839
1025,1819,-0.0509831,-0.0509831,-0.0267857,-0.0267857,0.1605839,0.1605839
1025,1820,-0.0615386,-0.0615386,-0.0267857,-0.0267857,0.1605839,0.1605839
1030,1815,NA,NA,NA,NA,NA,NA
