"atopid","dem.prop","joint.democ","avg.democ","max.democ","min.democ","avg.democ.weight","max.threat","min.threat","mean.threat","maxcap.democ.min","maxcap.democ.max","maxcap.cons","maxcap.rec","maxcap.comp","maxcap.open","prop.open","prop.cons","maxcap.cont.std","maxcap.inc.std","maxcap.comp.lied","maxcap.open.lied","maxcap.lied","maxcap.poly"
1020,0,0,-9.4,-7,-10,-1.91539595377736,0.62001699,0.36288801,0.55903462125,-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,0,0,-10,-10,-10,-5,0.740762,0.36288801,0.551825005,-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,0,0,-10,-10,-10,-5,0.73276502,0.36288801,0.547826515,-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,0,0,-8,-2,-10,-1.44674039476185,0.41431099,0.36288801,0.396555245,-2,0,1,0,0,0,0,0.333333333333333,0,0,0,1,3,0.267
1040,0,0,-7.5,-6,-9,-3.80630085751727,0.78636301,0.77589101,0.78112701,-9,0,0,0,0,0,0,0,0,0,0,0,0,0.043
1045,0,0,-5.33333333333333,-2,-10,-1.48791110831797,0.414671,0.414671,0.414671,-2,0,1,0,0,0,0,0.333333333333333,0,0,0,1,3,0.295
1050,0,0,-10,-10,-10,-5,0.86620599,0.346075,0.606140495,-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1053,0,0,-1,-1,-1,-1,0.71162802,0.71162802,0.71162802,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0.163
1055,0,0,-1.5,-1,-2,-0.840008813066671,0.565162,0.52974802,0.54745501,-2,0,1,0,0,0,0,0.5,0,0,1,1,4,0.303
1060,0,0,-2.5,-1,-4,-0.800219224750299,0.52974802,0.432953,0.48135051,-1,0,0,0,0,0,0,0,0,0,0,1,2,0.2
1065,0,0,-10,-10,-10,-3.33333333333333,0.72584301,0.68965501,0.70897768,-10,0,0,0,0,0,0,0,0,0,0,0,0,0.016
1070,0,0,-10,-10,-10,-5,0.78468001,0.68115598,0.732917995,-10,0,0,0,0,0,0,0,0,0,0,0,0,0.014
1075,0,0,-10,-10,-10,-5,0.68965501,0.598778,0.644216505,-10,0,0,0,0,0,0,0,0,0,0,0,0,0.016
1080,0,0,-10,-10,-10,-5,0.71143502,0.68965501,0.700545015,-10,0,0,0,0,0,0,0,0,0,0,0,0,0.016
1085,0,0,-10,-10,-10,-5,0.71143502,0.68965501,0.700545015,-10,0,0,0,0,0,0,0,0,0,0,0,0,0.016
1090,0,0,-10,-10,-10,-5,0.72584301,0.68965501,0.70774901,-10,0,0,0,0,0,0,0,0,0,0,0,0,0.016
1095,0,0,-10,-10,-10,-3.33333333333333,0.72584301,0.68965501,0.70897768,-10,0,0,0,0,0,0,0,0,0,0,0,0,0.016
1100,0,0,-3.25,-1,-6,-0.49860386379242,0.55296201,0.29034799,0.422783495,-2,0,1,0,0,0,0,0.25,0,0,1,1,4,0.306
1110,0,0,-7.2,3,-10,-0.688647658797811,0.40451199,0.185939,0.347535794,0,3,1,0,0,0,0,0.25,0,0,1,1,4,0.314
1115,0,0,-3.5,3,-10,-0.546417158186083,0.556274,0.42386001,0.490067005,0,3,1,0,0,0,0,0.5,0,0,1,1,4,0.31
1118,0,0,3,3,3,3,0.571715,0.571715,0.571715,3,3,1,-Inf,0,-Inf,NA,1,0,0,1,1,4,0.31
1120,0,0,-1,3,-4,0.340694028933879,0.53732598,0.26111001,0.403757245,0,3,1,0,0,0,0,0.25,0,0,1,1,4,0.309
1125,0,0,-10,-10,-10,-5,0.73286301,0.49468201,0.61377251,-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1130,0,0,-6,-6,-6,-6,0.73222303,0.73222303,0.73222303,-6,-6,-Inf,-Inf,-Inf,-Inf,NA,NA,0,0,-Inf,-Inf,-Inf,-Inf
1135,0,0,-7.5,-7,-8,-3.72866601035033,0.86199301,0.56762505,0.67515836,-8,0,0,0,0,0,0,0,0,0,0,0,0,0.165
1140,0,0,-5.66666666666667,-4,-7,-2.01091017384296,0.72084796,0.57752597,0.625299966666667,-6,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,0,0,-7,-6,-8,-3.38302528976979,0.84894502,0.72207302,0.78550902,-6,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,0,0,-6,-6,-6,-6,0.14173299,0.14173299,0.14173299,-6,-6,0,0,0,0,0,0,0,0,0,1,2,0.214
1155,0,0,-6,-6,-6,-6,0.14173299,0.14173299,0.14173299,-6,-6,0,0,0,0,0,0,0,0,0,1,2,0.214
1160,0,0,-5,3,-10,-0.297956115235253,0.42159599,0.21553,0.35246833,0,3,1,0,0,0,0,0.333333333333333,0,0,1,1,4,0.322
1165,0,0,-2.5,3,-8,0.00580319248183292,0.42159599,0.420279,0.420937495,0,3,1,0,0,0,0,0.5,0,0,1,1,4,0.322
1170,0,0,-7.5,-6,-9,-3.56314921258802,0.87338299,0.22776,0.550571495,-6,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,0,0,-8,-6,-10,-3.72702137655068,0.22776,0.21553,0.221645,-6,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,0,0,-3.66666666666667,3,-8,-0.293282706568098,0.42159599,0.22776,0.356544996666667,0,3,1,0,0,0,0,0.5,0,0,1,1,4,0.322
