"","atopid","polity","s_wt_glo","maxmajpow","consultatop","nagatop","neutatop","defenseatop","offenseatop","secrecy","conditio","intcom","base","contrib","ecaid","milaid","organ1","specthrt","macowe","maconc","maconp","nmacowe","nmaconc","nmaconp","nmaroir","condother","speclength","condlength","renounceok","renounceproh","renouncecond","milcontact","commondef","lallycount","lsumcap","ldistance","compel","prob","deter","deterministic","unconditional","PotMilCapacity.score","Depth.score","Scope.score","indx"
"1",1040,0.5,1,0,0,0,0,1,1,0,1,1,3,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.693,-2.45,6.827,1,1,1,1,1,-0.958,1.537,2.738,1
"2",1045,1.667,0.446,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.099,0.226,6.731,0,0,0,0,0,0.999,-0.491,-0.544,2
"3",1050,0,0.868,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.693,-2.33,0,0,0,1,1,0,0.659,1.084,0.192,3
"4",1055,3.5,0.899,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.693,-0.816,5.361,1,0,0,1,1,0.81,-0.484,2.687,4
"5",1060,2.5,0.419,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693,-1.732,0,1,1,1,1,1,0.791,-0.51,1.453,5
"6",1065,0,0.891,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.099,-0.547,0,1,0,1,1,1,0.828,-0.565,2.249,6
"7",1070,0,0.84,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.693,-3.289,6.096,0,0,1,1,1,-1.021,0.024,2.164,7
"8",1075,0,0.744,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-1.558,0,0,1,1,0,0,0.762,-0.066,-0.448,8
"9",1080,0,0.836,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.693,-1.427,0,0,0,0,0,0,0.749,-0.482,-0.566,9
"10",1085,0,0.836,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.693,-1.427,0,0,0,1,1,0,0.754,-0.48,0.986,10
"11",1090,0,0.864,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.693,-1.577,0,0,1,1,0,0,0.72,-0.491,0.818,11
"12",1095,0,0.891,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.099,-0.547,0,0,1,1,0,0,0.84,-0.531,-0.27,12
"13",1100,2.25,0.995,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0.625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.693,0.368,6.179,1,0,0,1,1,0.924,0.041,1.413,13
"14",1110,1.2,0.947,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.609,0.916,6.319,1,0,1,1,1,1.026,-0.494,2.837,14
"15",1115,3,0.139,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.693,-0.808,7.06,0,0,0,0,0,0.918,-0.511,-0.549,15
"16",1120,3,0.997,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.386,0.367,6.179,1,0,0,1,1,0.946,0.033,1.517,16
"17",1125,0,0.565,1,0,0,0,1,0,0,1,0,3,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693,-2.63,0,0,0,1,1,0,0.651,0.906,0.04,17
"18",1135,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.099,-2.186,4.19,0,0,1,1,1,0.661,-0.014,0.748,18
"20",1145,0.5,0.751,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693,-1.954,0,1,0,1,1,1,0.713,0.011,2.173,19
"21",1160,2,0.988,1,1,0,0,1,0,0,1,0,3,0,0,0,0,1,0.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.386,0.015,7.088,0,1,1,0,0,0.924,0.413,-0.23,20
"22",1165,3,0.982,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.099,-0.773,5.361,1,0,0,1,1,0.822,-0.49,2.246,21
"23",1170,0.5,0.007,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.693,-2.051,0,1,0,1,1,1,0.802,0.013,2.28,22
"24",1175,0.5,0.859,1,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0.693,-2.07,0,1,0,1,1,1,0.687,0.4,1.581,23
"25",1180,2.333,0.894,1,1,0,0,1,1,0,1,0,0,1,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.099,0.08,6.293,0,0,1,1,1,0.931,0.332,1.817,24
"26",1185,0.5,0.859,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.693,-1.581,6.466,0,0,0,0,0,0.757,-0.452,-0.55,25
"27",1190,2.333,0.845,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0.667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.099,-0.092,6.535,0,0,1,1,0,0.917,-0.482,0.024,26
"28",1195,2.333,0.864,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.099,-0.001,6.293,0,0,1,1,0,0.926,-0.496,0.864,27
"29",1200,0.5,0.998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-5.804,0,0,0,0,0,0,-1.327,-0.48,-0.543,28
"30",1205,1,0.999,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.099,-4.477,0,0,0,1,1,1,-1.173,-0.471,0.706,29
"31",1210,0,0.112,1,0,0,0,1,1,1,1,0,0,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693,-1.874,0,0,0,1,1,0,0.785,1.074,1.054,30
"32",1215,0,0.068,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.693,-1.367,7.036,0,0,0,0,0,0.881,-0.568,-0.627,31
"33",1220,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693,-5.604,0,0,0,1,1,0,-1.296,0.348,-0.122,32
"34",1225,3.5,0.941,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.099,-0.259,5.81,1,0,0,1,1,0.877,-0.509,2.613,33
"36",1230,0,0.887,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.693,-2.046,0,1,0,0,1,1,0.66,-0.054,2.325,34
"37",1235,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.693,-6.483,0,0,0,1,1,0,-1.386,-0.486,-0.092,35
"38",1240,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693,-6.898,0,0,0,1,1,1,-1.438,-0.359,0.762,36
"39",1245,0.5,0.359,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.693,-2.339,0,1,0,0,1,1,0.726,0.129,2.548,37
"40",1255,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.099,-4.617,0,1,0,1,1,1,-1.193,0.568,2.399,38
